Name/Inception Date,Asset Class,Category,Plan-specific option All tooltip content.,1 Year Avg,3 Year,5 Year,10 Year/LOF*,Avg Returns As Of,Daily Cumulative,MTD,YTD,Cumulative Returns As Of,1 Month,3 Months,Returns As Of,Gross Expense Ratio**,Shareholder Fees
DODGE & COX STOCK X (DOXGX)05/02/2022,Stock Investments,Large Cap,Yes,N/A,N/A,N/A,1.49%,02/28/2023,-1.46%,-6.07%,-3.10%,03/17/2023,-3.25%,-1.58%,02/28/2023,0.46%,No additional fees apply.
FID 500 INDEX (FXAIX)02/17/1988,Stock Investments,Large Cap,No,-7.71%,12.14%,9.81%,12.24%,02/28/2023,-1.10%,-1.23%,2.41%,03/17/2023,-2.44%,-2.29%,02/28/2023,0.02%,No additional fees apply.
FID CONTRAFUND K6 (FLCNX)05/25/2017,Stock Investments,Large Cap,Yes,-12.21%,9.10%,8.37%,10.91%,02/28/2023,-1.22%,0.28%,5.55%,03/17/2023,-1.80%,-0.66%,02/28/2023,0.45%,No additional fees apply.
JPM LG CAP GROWTH R6 (JLGMX)02/28/1992,Stock Investments,Large Cap,Yes,-10.89%,13.55%,13.26%,15.51%,02/28/2023,-0.92%,-0.06%,3.67%,03/17/2023,-2.33%,-2.95%,02/28/2023,0.51%,No additional fees apply.
VAN FTSE SOC IDX ADM (VFTAX)01/14/2003,Stock Investments,Large Cap,Yes,-10.79%,10.69%,9.68%,12.69%,02/28/2023,-1.03%,-0.73%,4.64%,03/17/2023,-2.11%,-1.48%,02/28/2023,0.14%,No additional fees apply.
AM CENT MD CP VAL R6 (AMDVX)03/31/2004,Stock Investments,Mid-Cap,Yes,2.27%,13.40%,8.08%,10.93%,02/28/2023,-1.97%,-6.82%,-3.56%,03/17/2023,-1.84%,0.23%,02/28/2023,0.62%,No additional fees apply.
EAGLE MID CAP GR F08/28/2018,Stock Investments,Mid-Cap,Yes,-8.16%,8.91%,N/A,7.50%,02/28/2023,-1.71%,-4.40%,1.30%,03/17/2023,-2.05%,-1.00%,02/28/2023,0.50%,No additional fees apply.
FID MID CAP IDX (FSMDX)09/08/2011,Stock Investments,Mid-Cap,No,-4.96%,11.46%,8.41%,10.67%,02/28/2023,-1.92%,-6.83%,-1.54%,03/17/2023,-2.42%,-0.02%,02/28/2023,0.03%,No additional fees apply.
FID SM CAP IDX (FSSNX)09/08/2011,Stock Investments,Small Cap,No,-5.82%,10.16%,6.11%,9.23%,02/28/2023,-2.56%,-8.88%,-1.61%,03/17/2023,-1.68%,1.00%,02/28/2023,0.03%,No additional fees apply.
FKLN SM CAP VAL ADV (FVADX)03/11/1996,Stock Investments,Small Cap,Yes,-1.62%,14.66%,8.06%,9.20%,02/28/2023,-2.27%,-9.06%,-2.40%,03/17/2023,-1.82%,2.41%,02/28/2023,0.73%,No additional fees apply.
J H TRITON N (JGMNX)02/25/2005,Stock Investments,Small Cap,Yes,-8.22%,8.21%,6.03%,10.88%,02/28/2023,-1.96%,-6.75%,0.36%,03/17/2023,-1.18%,1.64%,02/28/2023,0.66%,No additional fees apply.
AF EUROPAC GROWTH R6 (RERGX)04/16/1984,Stock Investments,International,Yes,-8.47%,4.73%,2.16%,5.57%,02/28/2023,-0.39%,-1.75%,3.14%,03/17/2023,-3.76%,1.38%,02/28/2023,0.46%,No additional fees apply.
AF NEW PERSPECT R6 (RNPGX)03/13/1973,Stock Investments,International,Yes,-9.89%,9.96%,8.10%,10.47%,02/28/2023,-0.92%,-1.73%,4.23%,03/17/2023,-2.14%,0.65%,02/28/2023,0.41%,No additional fees apply.
FID EMRG MKTS IDX (FPADX)09/08/2011,Stock Investments,International,No,-15.15%,0.58%,-1.90%,1.54%,02/28/2023,-0.43%,-1.68%,-0.64%,03/17/2023,-6.93%,-1.75%,02/28/2023,0.08%,No additional fees apply.
FID INTL INDEX (FSPSX)11/05/1997,Stock Investments,International,No,-3.07%,6.58%,2.86%,4.97%,02/28/2023,-0.80%,-2.95%,2.23%,03/17/2023,-2.91%,3.44%,02/28/2023,0.04%,No additional fees apply.
VAN REAL EST IDX ADM (VGSLX)05/13/1996,Stock Investments,Specialty,No,-13.26%,2.99%,7.07%,6.32%,02/28/2023,-2.27%,-6.04%,-2.34%,03/17/2023,-5.87%,-1.35%,02/28/2023,0.12%,No additional fees apply.
FID FDM IDX 2015 PRM (FFYPX)10/02/2009,Blended Investment*,N/A,Yes,-8.55%,2.08%,3.32%,4.74%,02/28/2023,0.08%,0.45%,2.55%,03/17/2023,-2.44%,-0.27%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2020 PRM (FKIPX)10/02/2009,Blended Investment*,N/A,Yes,-9.25%,2.79%,3.69%,5.22%,02/28/2023,-0.07%,0.14%,2.63%,03/17/2023,-2.70%,-0.37%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2025 PRM (FLIPX)10/02/2009,Blended Investment*,N/A,Yes,-9.35%,3.46%,4.07%,5.85%,02/28/2023,-0.12%,-0.12%,2.64%,03/17/2023,-2.80%,-0.44%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2030 PRM (FMKPX)10/02/2009,Blended Investment*,N/A,Yes,-9.11%,4.45%,4.59%,6.63%,02/28/2023,-0.29%,-0.40%,2.50%,03/17/2023,-2.92%,-0.45%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2035 PRM (FNIPX)10/02/2009,Blended Investment*,N/A,Yes,-8.79%,6.23%,5.39%,7.53%,02/28/2023,-0.47%,-0.98%,2.40%,03/17/2023,-3.01%,-0.41%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2040 PRM (FPIPX)10/02/2009,Blended Investment*,N/A,Yes,-8.59%,7.43%,5.95%,7.87%,02/28/2023,-0.77%,-1.68%,2.16%,03/17/2023,-3.10%,-0.39%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2045 PRM (FQIPX)10/02/2009,Blended Investment*,N/A,Yes,-8.50%,7.46%,5.97%,7.92%,02/28/2023,-0.84%,-1.81%,2.08%,03/17/2023,-3.12%,-0.39%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2050 PRM (FRLPX)10/02/2009,Blended Investment*,N/A,Yes,-8.50%,7.47%,5.98%,7.93%,02/28/2023,-0.79%,-1.80%,2.13%,03/17/2023,-3.07%,-0.40%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2055 PRM (FTYPX)06/01/2011,Blended Investment*,N/A,Yes,-8.52%,7.44%,5.97%,7.99%,02/28/2023,-0.78%,-1.78%,2.16%,03/17/2023,-3.10%,-0.40%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2060 PRM (FUIPX)08/05/2014,Blended Investment*,N/A,Yes,-8.52%,7.45%,5.98%,7.06%,02/28/2023,-0.85%,-1.82%,2.11%,03/17/2023,-3.12%,-0.43%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX 2065 PRM (FVIPX)06/28/2019,Blended Investment*,N/A,Yes,-8.52%,7.45%,N/A,6.23%,02/28/2023,-0.79%,-1.82%,2.16%,03/17/2023,-3.10%,-0.42%,02/28/2023,0.06%,No additional fees apply.
FID FDM IDX INC PRM (FAPIX)10/02/2009,Blended Investment*,N/A,Yes,-7.17%,-0.04%,2.13%,2.62%,02/28/2023,0.27%,1.10%,2.40%,03/17/2023,-1.94%,-0.17%,02/28/2023,0.06%,No additional fees apply.
MIP CL 209/07/1989 7 day yield as of02/28/2023 1.68%,Bond Investments,Stable Value,Yes,1.35%,1.33%,1.59%,1.46%,02/28/2023,0.00%,0.08%,0.34%,03/17/2023,0.13%,0.39%,02/28/2023,0.49%,No additional fees apply.
FID US BOND IDX (FXNAX)03/08/1990,Bond Investments,Income,No,-9.68%,-3.77%,0.51%,1.08%,02/28/2023,0.88%,2.39%,2.95%,03/17/2023,-2.55%,-0.10%,02/28/2023,0.03%,No additional fees apply.
PGIM GLB TOT RTN R6 (PGTQX)07/07/1986,Bond Investments,Income,Yes,-15.42%,-7.29%,-2.08%,0.63%,02/28/2023,0.60%,1.60%,2.06%,03/17/2023,-3.35%,0.81%,02/28/2023,0.53%,No additional fees apply.
PIM TOTAL RT INST (PTTRX)05/11/1987,Bond Investments,Income,Yes,-10.76%,-3.45%,0.53%,1.18%,02/28/2023,0.73%,1.84%,2.77%,03/17/2023,-2.44%,0.60%,02/28/2023,0.46%,No additional fees apply.
